,loss,rmse_m,val_loss,val_rmse_m,lr
0,2.7093427181243896,2.683260917663574,1237852880896.0,1173588410368.0,0.009999999776482582
1,2.1209816932678223,2.1057913303375244,92551302348800.0,86949096325120.0,0.009999999776482582
2,1.9057059288024902,1.884121298789978,207608256.0,341070688.0,0.009999999776482582
3,1.83990478515625,1.8348501920700073,128513949696.0,122731724800.0,0.009999999776482582
4,1.7817498445510864,1.8045471906661987,2754244096.0,2582038528.0,0.009999999776482582
5,1.7610989809036255,1.7740159034729004,1261170688.0,1194032640.0,0.009999999776482582
6,1.7790943384170532,1.8022960424423218,34009308.0,31508988.0,0.007999999448657036
7,1.7843270301818848,1.7840837240219116,15612.31640625,25646.6328125,0.007999999448657036
8,1.782351016998291,1.7979105710983276,243234.84375,222760.40625,0.007999999448657036
9,1.7151985168457031,1.6938575506210327,6843.4150390625,7150.1162109375,0.007999999448657036
